wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
15%,Port/Sherry,Spain,"This full-bodied Manzanilla's pine and stone fruit aromas are lively and precise. On the palate, dry citrus and apricot flavors roll out nicely over a firm and balanced finish. ",Bodegas Barón NV Xixarito Pasada en Rama Sherry (Manzanilla-Sanlúcar de Barrameda),90,25,Andalucia,Sherry
19.5%,Port/Sherry,Portugal,"Produced from foot treading in open lagars, this is a beautiful wine. Its richness is mitigated by its structure and the dense texture of black fruits along with the edge of the spirits and wood. Like any Reserve Port, it can be drunk now, although its structure suggests it could age. ",Quinta Vale Dona Maria NV Reserva Lote No. 5  (Port),90,20,Port,Port
19.5%,Port/Sherry,Portugal,"While this estate does concentrate on wines, it also makes some fine Ports. This balanced aged tawny combines the fruitiness of this style with hints of spice from wood aging. The wine is ready to drink. ",Quinta da Romaneira NV 10 Year Old Tawny  (Port),90,26,Port,Port
16%,Port/Sherry,Spain,"This leads with smooth, ripe and pure aromas of honeyed raisin. That richly honeyed note carries onto the palate, which is thick to the point of cloying. Its corn syrup, candied pecan and caramel flavors are rich and confected, even on the finish. ",Bodegas Dios Baco S.L. NV Esnobista Moscatel Pasa Sherry (Jerez),91,30,Andalucia,Sherry
21%,Port/Sherry,Spain,"The color of tanned leather, this limited production Palo Cortado from the almacen Cayetano del Pino is backed by dusty apricot and honey aromas. Classy from first pour, it's is refined but also full bodied on the palate, with integrated dried white fruit and roasted nut flavors that take a long ride into the finish. ",Lustau NV Almacenista Cayetano del Pino y Cía Palo Cortado de Jerez Sherry (Jerez),91,35,Andalucia,Sherry
17.5%,Port/Sherry,Spain,"This funky Oloroso has a coffee color and cheesy prune and dried fruit aromas. It's less than polished but quite honest, with a tight, drawing palate filled with nutty, salty flavors, acidity and power. ",Bodegas Barón NV Xixarito Oloroso Sherry (Jerez),91,30,Andalucia,Sherry
17.5%,Port/Sherry,Spain,"This wine's dense fig and raisin aromas are more subtle than loud. It's thick and lush on the palate, but a jolt of acidity lends balance. The usual suspect flavors are here: caramel, toffee, honey. On the finish, a chocolaty flavor takes over. ",Bodegas Barón NV Xixarito Moscatel (Jerez),91,26,Andalucia,Moscatel
13.5%,Red,Portugal,"Based at Quinta de Roriz in the Douro, this wine is produced by a joint venture between the Prats family of Bordeaux and the Symington family of the Douro. Made as a second wine to Chryseia, it is soft and rich, with great tannins and ripe fruit. Black currants and acidity go together with a young, dry core. Drink from 2020. ",Prats & Symington LDA 2015 Post Scriptum de Chryseia Red (Douro),92,26,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"This impressive single-quinta wine is packed with fruit and plenty of the firm tannins. Ripe, perfumed and with touches of sweetness, it will age well. Drink from 2027. ",Quinta das Carvalhas 2015 Vintage  (Port),92,75,Port,Port
20%,Port/Sherry,Portugal,"This rich, dense vintage Port is produced by Niepoort. It has immense tannins as well as layers of ripe fruit. The concentrated texture, powerful dry core and the richness of the wine promise good aging. Drink from 2028. ",Broadbent 2015 Vintage  (Port),92,69,Port,Port
14%,Red,Portugal,"Across the river from the small town of Pinhão and some of the finest Port vineyards, this estate is well situated. This wine comes from 100-year-old vines and boasts great concentration and richness. It is dense and full of black fruits, ripe from a fine year in the Douro. It will age well; drink after 2021. ",Quinta das Carvalhas 2015 Carvalhas Vinhas Velhas Red (Douro),93,75,Douro,Portuguese Red
19.5%,Port/Sherry,Portugal,"Almost black in color, this rich, unctuous wine at first seems smooth. Ripe black-plum and jammy berry fruits are ripe and dense. Behind that generous exterior, firm tannins and a dense structure will allow the wine to age well. Drink after 2026. ",Quinta Nova de Nossa Senhora do Carmo 2014 Vintage  (Port),93,43,Port,Port
20%,Fortified,Portugal,"Already with a wonderful old-gold color, this aromatic wine with its fruit, acidity and touch of spirit is bone dry, but presents a rich texture. The typical intense acidity is right there as well as lemon peel, wood, spice and concentration. This wine, aged in wood and bottled in 2017, is ready to drink. ",Blandy's 2000 Colheita Single Harvest Verdelho (Madeira),94,72,Madeira,Verdelho
20%,Port/Sherry,Portugal,"Long associated with the Graham's name, this quinta makes impressive Ports. This hugely tannic and equally hugely fruity Port has a dry backbone as well as potentially rich black fruits. Acidity and a dry edge give structure to this dense wine. Drink from 2028. ",W. & J. Graham's 2015 Quinta dos Malvedos Vintage  (Port),94,68,Port,Port
20%,Port/Sherry,Portugal,"The style of Warre's Ports tends to dryness, and this fine quinta vintage is no exception. It's dry, but the rich fruit forms a great counterbalance. Dense, still young and bursting with perfumed blueberry fruits, the wine has great promise. Drink from 2027. ",Warre's 2015 Quinta da Cavadinha Vintage  (Port),94,65,Port,Port
20%,Port/Sherry,Portugal,"This quinta, situated in the heart of the Port vineyards, always forms the backbone of Dow's Ports. It makes a densely textured wine, powerful and with immense dusty tannins. These are backed by ripe black fruits, a good balance between sweet and dry, with a good shot of acidity. This complex Port needs to age for many years. Drink from 2028. ",Dow's 2015 Quinta do Bomfim Vintage  (Port),94,65,Port,Port
21%,Fortified,Portugal,"This beautifully golden-colored, oak-aged wine is bone dry, with the intense acidity working with an orange-marmalade character. Together they give a mature wine that is ready to drink. ",Blandy's 1968 Sercial (Madeira),95,355,Madeira,Sercial
20%,Fortified,Portugal,"Bottled in 2017, this wine aged in old oak for 60 years. It still has all the sweetness you would expect from a Bual Madeira while also having that old wood, almost golden character. Acidity balances the opulent fruit. Drink this wine now. ",Blandy's 1957 Bual (Madeira),95,425,Madeira,Bual
14%,Red,Portugal,"If any wine from the Douro has a Bordeaux influence, it is this wine. Produced as part of a joint venture between the Prats family of Bordeaux and the Symington family of the Douro, this wine shows great attention to tannins and structure while allowing the black fruits to shine. It is a stylish wine, powerful while wearing that power lightly. Drink this wine, from a very good year, from 2022. ",Prats & Symington LDA 2015 Chryseia Red (Douro),96,80,Douro,Portuguese Red
18.5%,Port/Sherry,US,"Large doses of smoky oak and sweet spices light up this powerful full-bodied dessert wine, which is very sweet and has an almost thick, viscous texture that coats the mouth. ",Sonoma Port Works 2012 Petite Sirah (Clarksburg),86,38,California,Petite Sirah
18.5%,Port/Sherry,US,"This Port-style wine has dried fruit and toasted-walnut aromas, sweet plum and prune flavors and a nutty finish. It's quite full bodied and the alcohol and tannins give good backing to all the flavor and sweetness. ",Sonoma Port Works 2014 Petit Verdot (Clarksburg),87,38,California,Petit Verdot
5.5%,Dessert,US,"Medium-bodied and quite sweet, this aromatic and flamboyant red wine drinks like a light Port and could taste great with dessert or a cheese course. It will also be good to pour for friends and family who don't appreciate dry wine. ",Red Electra 2016 Muscat (California),89,15,California,Muscat
14.5%,Red,Argentina,"Deep berry aromas are softened by a touch of prune on this fully ripe Cabernet that's a bit soupy and soft on the palate. Cassis and brown-sugar flavors suggest maximum ripeness, while Port notes are easy to find on the finish. Drink through 2021. ",Viña Cobos 2015 Bramare Cabernet Sauvignon (Luján de Cuyo),91,42,Mendoza Province,Cabernet Sauvignon
19.5%,Port/Sherry,Portugal,"Barrel aging for 10 years has begun to change the fruit of this rich wine. It has introduced spice, acidity and a tangy, bitter orange character. The fruit hasn't gone completely and the balance of this wine, neither young nor old, it is just right. Drink now. ",Borges NV Soalheira 10 Years Old Tawny  (Port),90,26,Port,Port
20.5%,Port/Sherry,Portugal,"This Port, still young to taste, is a dry style of LBV giving structure as much as fruit at this stage. It does have floral black fruits from the Touriga Nacional in the blend. It also has a firm core that will certainly soften. So although this wine can be drunk now, it will be so much better from 2019. ",Offley 2012 Late Bottled Vintage  (Port),90,26,Port,Port
20%,Port/Sherry,Portugal,"With fragrant violet and red-fruit aromas, this is an enticing wine. Its structure and its concentration bring out its richness and dense black fruits. The wine is elegant, on the dry side of Ports with some firm tannins as well as fine ripe fruits and acidity. Drink this now or (better yet) wait until 2020. ",Ferreira 2013 Late Bottled Vintage  (Port),91,26,Port,Port
19.5%,Port/Sherry,Portugal,"While it was not a generally declared vintage, this year has produced some fine single-quinta vintages. This wine has a fine tannic structure behind the rich damson and dried fruit flavors. Spice and acidity add to the complexity of this dense wine that will certainly need to age. Drink from 2023. ",Borges 2012 Soalheira Vintage  (Port),91,33,Port,Port
20.5%,Port/Sherry,Portugal,"The wine is dry, concentrated, very much in the house style of this legendary brand. It has acidity as well as the rich dried fruits, with the tannins a force in the background. It is a style of LBV that could age well, with its structure and acidity. Drink now, certainly, but it will be an even better wine from 2020 or 2022. ",Ferreira 2012 Late Bottled Vintage  (Port),92,26,Port,Port
19.5%,Port/Sherry,Portugal,"Noval, one of the showpiece estates of the Douro, releases vintages in most years. This wine gives a fine reflection of what is, in fact, a great vintage which was almost a general declaration. It is impressive, ripe with generous black fruits and a fine balance between the spirit and the rich structure and fruit. It is going to mature quickly in the sense that it can be drunk within the next five years. It will also age for several decades. ",Quinta do Noval 2015 Vintage  (Port),95,110,Port,Port
20.5%,Port/Sherry,Portugal,"One of a series of releases by this Port producer, this Colheita, or Port from a single harvest, is beautifully poised between red fruits and mature almond and an old gold character. It has intensity, a product of the aging in wood that has just concentrated the wine. Like all Ports of this type, it is ready to drink. ",Taylor Fladgate 1968 Single Harvest  (Port),95,300,Port,Port
15.8%,Red,US,"Very ripe, Port-like flavors and a big but soft presence on the palate give a bold personality to this full-bodied wine. It's deep and concentrated in berry and raisin flavors that are layered and delicious, squeezing dark chocolate and mint between them. ",Shooting Star 2015 Zinfandel (Mendocino County),90,14,California,Zinfandel
20%,Port/Sherry,US,"Rich and roasty on the nose, this excellent Port-style wine shows aromas of cherry cordial, charred fennel, black sage and roast beef. The dense sip offers black cherry, espresso, blueberry jelly and thick chocolate flavors, enhanced by a hint of menthol and Scotch-like elements. ",Williams Selyem 2011 Vista Verde Vineyard Port (San Benito County),93,40,California,Port
15.5%,Red,US,"A deep, velvety purple color in the glass, this bottling by proprietor Roger Bower and winemaker Adam Henkel shows dark-chocolate-covered black cherries, fresh blackberry, white pepper, violet oil, port reduction sauce and spice sake on the lavish nose. Firm tannins frame the palate, which carries black currant and roasted lean beef flavors through soy and pepper sauce into a finish of caramel and espresso grinds. ",Crown Point 2014 Cabernet Sauvignon (Happy Canyon of Santa Barbara),96,150,California,Cabernet Sauvignon
13.5%,Red,Portugal,"This second wine from Quinta de Roriz is ready to drink young, with warm red fruits, soft tannins and juicy acidity. It has structure as well, which will allow it to develop further although it is already delicious and juicy. Drink now or wait until 2019. ",Prats & Symington LDA 2016 Prazo de Roriz Red (Douro),88,17,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"This familiar brand exhibits the lush Fonseca style. Tannins are encased in generous red fruits, giving a wine that is smooth with just a touch of structure. This perfumed wine is ready to drink. ",Fonseca NV Bin 27 Finest Reserve  (Port),88,21,Port,Port
20%,Port/Sherry,Portugal,"Produced by Niepoort for the importer, this dense wine is rich in prunes and ripe black plums. Poised between sweet and dry, it has tannins as well as generous fruitiness and a liquorous, smooth aftertaste. ",Broadbent NV Auction Reserva  (Port),88,25,Port,Port
20%,Port/Sherry,Portugal,"The style of this LBV changes little. It is always a fruity, ready-to-drink Port, rich in black fruits and juicy acidity. It is perfumed, ripe, warming and lightly structured. It is ready to drink. ",Taylor Fladgate 2013 Late Bottled Vintage  (Port),89,25,Port,Port
20%,Port/Sherry,Portugal,"Dark colored and rich, this smooth wine is poised between sweet and dry. It offers good acidity at the same time as really ripe fruit and a generous texture. This wine, although it is ready to drink, could well age. Drink now or keep until 2020. ",Quinta das Carvalhas 2013 Late Bottled Vintage  (Port),90,20,Port,Port
20%,Port/Sherry,Portugal,"This is a richly smooth LBV. Superripe black fruits, dried fruits, sultanas and spice are brought together in a generous, full-throated Port. Its tannins are just enough to suggest it could age further, although it is enjoyable now. ",Quinta de la Rosa 2013 Late Bottled Vintage  (Port),90,28,Port,Port
19.5%,Red,Portugal,"This wine, a field blend from old vines, is beautifully textured. It is made in a sweet, perfumed style, with dried fruits and prune flavors. Acidity does appear and gives the wine a crisp edge, although the main thrust of this wine is the opulent character. Drink now. ",Quinta Nova de Nossa Senhora do Carmo 2013 Late Bottled Vintage  (Port),91,30,Port,Port
14.5%,Red,Portugal,"With its north-facing aspect, this vineyard is just right for red wines rather than Port. A cool character comes through even in ageworthy wines such as this. Firm tannins mix in with the juicy red fruits and crisp aftertaste. Wood aging adds spice and rounds out the wine. Drink from 2021. ",Real Companhia Velha 2014 Quinta dos Aciprestes Grande Reserva Red (Douro),92,75,Douro,Portuguese Red
16.5%,Port/Sherry,Spain,"Heavyweight aromas of molasses and honey are friendly but flat. A dry, drawing palate holds nutty, salty walnut flavors that run only so deep before bottoming out. A tight, basic finish doesn't waver. ",Garcia Hermanos NV Corredera Amontillado Pedro Ximénez (Montilla-Moriles),88,16,Andalucia,Pedro Ximénez
17.5%,Port/Sherry,Spain,"Lively but standard amontillado aromas of maple, honey and nuts are a touch fiery. Matching the nose, this is choppy and pulling on the palate. Salty, nutty, intensely dry flavors finish with hard-driving acidity that creates never-ending length. ",Bodegas Barón NV Micaela Amontillado Sherry (Jerez),88,16,Andalucia,Sherry
18.5%,Port/Sherry,Spain,"Honey and nut aromas lead to a simple and balanced palate. Sweet flavors of caramel and sugar-coated pecan are enjoyable. On the finish, a mix of mushroom, pecan, coffee and toffee flavors are good but sticky. ",Lustau NV Medium Golden La Plaza Vieja Medium Dry Sherry (Jerez),89,20,Andalucia,Sherry
15%,Red,US,"Roasted blueberry aromas meet prune, caramel and purple flower notes on the nose of this port-like bottling, which is rich and inviting but not very reminiscent of Grenache. It's soft and thick on the palate, with caramel, fudge and coffee candy flavors, and would make a great pairing for dessert. ",Austin Hope 2014 Grenache (Templeton Gap District),90,55,California,Grenache
18%,Port/Sherry,Spain,"Nutty aromas are rich and oily in this semisweet amontillado. It is round and chewy on the palate, with a layering of creamy, nutty flavors: Toffee, chocolate and caramel. These notes linger on the unwavering finish. ",Bodegas Dios Baco S.L. NV Élite Amontillado Selection Medium Sherry (Jerez),90,30,Andalucia,Sherry
19.5%,Port/Sherry,Spain,"A turbid brownish-gold color is cloudy but nothing else about this amontillado is unclear. Concentrated aromas of nut oil, pecan pie, molasses and sweat are rugged and raw. Blasting acidity creates pinch on the palate, while this tastes salty and like almonds, pecan pie and white pepper. A long finish with bracing acidity will not be swayed. ",Bodegas Dios Baco S.L. NV Imperial Amontillado VOS Sherry (Jerez),92,100,Andalucia,Sherry
17%,Dessert,US,"This Port-style dessert wine is lush in aromas and flavors of kirsch, fig, cooked plum, clove and coffee. A nice expression of the Norton grape, this is viscous and smooth, yet the finish brings a bite at the end. ",Casanel NV The Full Nelson Norton (Middleburg),86,30,Virginia,Norton
14.5%,Red,US,"Bold, concentrated and full bodied, this wine brings effusive black cherry and blueberry aromas, a Port-like fruit concentration, good bracing texture and decent balance. ",Sketchbook 2014 Artist's Red (Mendocino County),86,15,California,Rhône-style Red Blend
18.7%,Dessert,US,"Age has mellowed this potent Port-style wine a bit but hardly tamed it. The dark auburn edge to the otherwise black color hints at its maturity as do the pruny nutty roasted-cherry flavors. It's very full bodied and definitely sweet, but not cloying. ",Jessie's Grove 2001 Legacy 1868 Red (California),87,45,California,Red Blends
18.5%,Port/Sherry,US,"This vintage Port-style wine is warming and full of comforting flavors. Cooked prune, raisin, coffee and spices fill your senses. It feels lucious and smooth, but has lively acidity as well. It would be a lovely accompaniment to a cozy night beside the fire. ",Horton 1997 Vintage Port (Virginia),87,45,Virginia,Port
19%,Port/Sherry,Portugal,"This fruity young wine has a ripe spring in its step. It has red-berry fruitiness as well as sweeter candied fruits balanced by an edge of spirit and acidity. This is an easy style of Port, ready to drink at any time. ",Borges NV Reserva Ruby  (Port),87,14,Port,Port
17%,Fortified,France,"Almost as a challenge, owners Pascal et Jean-Marc Verhaeghe set out to prove that Malbec could produce a fine Port-style fortified wine. It works: its ripe sweetness and the balance between brandy and wine are just right. Jammy black cherry flavors and soft tannins give it a rich, velvety character. Drink now. ",Château du Cèdre 2014 Le Cèdre Vintage Malbec (Vin de Liqueur),88,33,France Other,Malbec
24%,Port/Sherry,US,"This powerful and densely packed sweet wine has a color that's nearly black except for a dark garnet rim, aromas of wood smoke and dark chocolate and flavors like espresso, blueberry syrup and black pepper. It's very high in alcohol, hot on the palate and about as bold as a wine can get. ",Powicana Farm 2015 Port Petite Sirah (Redwood Valley),88,38,California,Petite Sirah
20.5%,Port/Sherry,Portugal,"Smoothly textured with a balancing edge of tannin, this ripe—never too sweet—Port is full of dried fruits, an edge of spirits and a dry aftertaste. The wine, from one of the classic Port houses, is intense, concentrated, ready to drink now. ",Sandeman 2012 Late Bottled Vintage  (Port),88,30,Port,Port
19%,Port/Sherry,Portugal,"This is a young tawny (in this case, on average five-years-old) that has kept all its fruit and just added perfumed dried fruits and touches of spice and attractive oxidation from the wood aging. The wine is soft, ripe and easy to drink. ",Borges NV Reserva Tawny  (Port),88,14,Port,Port
19%,Port/Sherry,Portugal,"Port made from white grapes is a great cocktail base (think white Port and Tonic for a start) as well as a delicious drink in its own right. This wine, well poised between sweet and dry, is a rich golden color, with dried apricot and plenty of fresh citrus to give it a crisp texture. Drink now. ",Borges NV Reserva Branco  (Port),88,14,Port,Port
20%,Port/Sherry,Portugal,"Aged for four years in old wood before bottling, this ripe, soft and sweet wine is typical of the Borges style of Port. It is fruity with ripe damsons, prunes and fine concentration. With acidity and touches of tannin to give the wine shape, it is balanced and ready to drink. ",Borges 2010 Late Bottled Vintage  (Port),89,17,Port,Port
19.5%,Port/Sherry,Portugal,"Aged in small and larger barrels for an average of 20 years, the wine is beautifully poised between fruit and old gold intensity. It is rich, with dark marmalade flavors, orange peel and spice. The intense acidity keeps some crispness to this intense, dry and concentrated wine. Drink now. ",Borges NV Quinta da Soalheira 20 Years Old Tawny  (Port),90,39,Port,Port
20.5%,Port/Sherry,Portugal,"This Port was bottled unfiltered which means there are the right conditions for it to age. It is rich and dense with jammy black fruits and ripe tannins. Dried black plums and dates are backed up by a dry core and by fine acidity. Drink this rich wine now, but it will be much better from 2019. ",Sandeman 2013 Late Bottled Vintage  (Port),90,30,Port,Port
20%,Port/Sherry,Portugal,"With dense tannins and already generous and opulent fruit, this wine has great structure plus fine black-currant fruit and acidity. Its perfumes are balanced, with an elegant character. It should be ready to drink from 2026. ",Quinta Vale Dona Maria 2015 VZ Vintage  (Port),93,70,Port,Port
20%,Port/Sherry,Portugal,"Colheita must be barrel-aged for at least seven years, but Poças went for the long haul, bottling this in 2017. The result is a deep-gold color and richly mature flavors. Caramel, spice and a dry edge from the wood aging gives it character, just hinting at the brandy, with acidity at the end. It is rich and ready to drink. ",Poças 2003 Colheita  (Port),93,50,Port,Port
20%,Port/Sherry,Portugal,"Rich and fruity, this wine is packed with intense black-currant flavors. It is perfumed, ripe with a good tannic background. The density of the wine and the firm structure point to a long aging process. Drink this beautifully structured wine from 2026. ",Dow's 2015 Quinta Senhora da Ribeira Vintage  (Port),93,70,Port,Port
20%,Port/Sherry,Portugal,"This is a ripe and delicious wine, packed with tannins as well as perfumed fruit. It has density as well as rich blackberries and acidity to balance. The wine will be ready to drink from 2025. ",Fonseca 2015 Guimaraens Vintage  (Port),93,60,Port,Port
20%,Port/Sherry,Portugal,"Firm, dusty tannins with great damson fruits characterize this wine that will be impressive as it ages. With its ripe structure and concentration, it is perfumed and rich. The power resides in the dense aftertaste. Drink from 2026. ",Poças 2015  Port,93,85,Port,Port
14%,Red,Portugal,"This is a major Douro wine from the Poças family-owned Port and wine producer. Dusty tannins already give it class as well as richness. Packed with black-plum fruits and with good concentration, the wine is still maturing. It needs to age further, so drink from 2019. ",Poças 2014 Símbolo Red (Douro),94,150,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"Ripe, fruity and balanced, this has the potential to be a delicious, not-too-concentrated wine. Acidity and some dry tannins give the wine a firm character that is balanced by the fragrant berry fruits. Drink from 2026. ",Churchill's 2015 Quinta da Gricha Vintage  (Port),94,60,Port,Port
20%,Port/Sherry,Portugal,"Ripe and fruity, this is already delicious, but that doesn't detract from the firm tannins and density of a wine that will age well. It has all the elements, with the fruit, solid tannins and a juicy aftertaste. Drink from 2025. ",Sandeman 2015 Quinta do Seixo Vintage  (Port),94,50,Port,Port
20%,Port/Sherry,Portugal,"This wine is dense, dark with tannins while also perfumed. A solid structure gives concentration and richness. It will be a hugely fruity wine with a dense aftertaste. Drink from 2027. ",Quinta Vale Dona Maria 2015 Vintage  (Port),94,70,Port,Port
20%,Port/Sherry,Portugal,"This is very dense, with concentrated, dusty tannins and powerful blackberry flavors. It is rich and full of blackberry fruits along with acidity and a beautiful perfumed aftertaste. Drink from 2027. ",Quinta dos Murças 2015 Vintage  (Port),94,65,Port,Port
20%,Port/Sherry,Portugal,"Full of ripe fruit, this wine is rich while also having a delicately perfumed character. With its spice, generous fruits and sense of poise, it will age well. Drink from 2027. ",Quinta do Vesuvio 2015 Vintage  (Port),94,78,Port,Port
20%,Port/Sherry,Portugal,"Powerful, dusty tannins dominate this ripe wine. With its great blackberry fruits, currants and juicy acidity, it is already balanced. The power comes from the dry tannins and the rich, concentrated fruits. Drink from 2026. ",C. da Silva 2015 Dalva Vintage  (Port),95,52,Port,Port
20%,Port/Sherry,Portugal,This wine is ripe with tannins and powerful with ripe fruit. A solid character gives it density. The tannins and the richness of the wine are ripe and concentrated with fruit. Drink from 2026. ,Taylor Fladgate 2015 Quinta da Vargellas Vintage  (Port),95,58,Port,Port
20%,Port/Sherry,Portugal,"An elegant wine with beautifully integrated tannins, this is concentrated as well as fruity. Its structure and blackberry fruits are sweet and ripe. The perfumes of this wine leave a stylish, fragrant aftertaste. Drink from 2027. ",W. & J. Graham's 2015 The Stone Terraces Vintage  (Port),95,200,Port,Port
20%,Port/Sherry,Portugal,"Beautifully perfumed, this is a ripe and structured wine. It has fine dusty tannins, intense blackberry fruits and a dark-licorice aftertaste. Acidity keeps the wine fruity and fresh although with those firm tannins, it will need time. Drink from 2027. ",Croft 2015 Quinta da Roeda  (Port),95,55,Port,Port
20%,Port/Sherry,Portugal,"This is a superb blend of aged tawny Ports, blended to celebrate the company's 325th anniversary. Filled with rich fruit, it has great depth and spicy richness although it is also impressively fresh. Dried fruits and red plums are lifted with a hint of smoky wood and good acidity. Like any tawny Port, it is ready to drink. ",Taylor Fladgate NV 325 Anniversary  (Port),97,40,Port,Port
13.9%,Red,US,"It's very difficult to rate this unusual bottling in a blind tasting. It's a nonvintage dry red wine blended from mature years and has few if any peers in California. It's very tasty because of traits that are usually considered flaws. A tawny color and an aroma like tawny Port lead to a very soft texture, and warm plum, raisin and nut flavors. The wine is rather full in body, light on tannins, and tastes quite mature and mellow. ",Sean Thackrey NV Pleiades XXV Old Vines Red (California),87,24,California,Rhône-style Red Blend
14.5%,Red,US,"Velvety smooth, and brimming with ripe berry flavors, this wine feels broad and rich on the palate, carrying flavors like black plums and boysenberry jam. So ripe it's almost sweet, the wine is nothing if not generous and fruity. A 7% addition of Port-style sweet wine gives it that extra dimension. ",Scott Harvey 2013 InZinerator Zinfandel (California),88,20,California,Zinfandel
15%,Red,US,"This drinks like a Port, with extremely ripe and definitely sweet flavors of raisins, dried plums and blackberry jam. It's not so much a dinner wine as something to sip around the campfire or with a dark chocolate dessert. ",Everhart Cellars 2014 Estate Grown Happy Zinfandel (El Dorado),89,25,California,Zinfandel
20%,Port/Sherry,Portugal,"The structure is the thing with this wine, giving a bitter edge to the still very young fruit. Juicy blackberry flavors show the fruit potential of this firm wine. It needs to age, with its concentration and dense aftertaste. Drink from 2026. ",Cálem 2015 Vintage  (Port),89,40,Port,Port
19.5%,Port/Sherry,Portugal,"This rich, spicy Port is full of jammy black fruits, dried prunes and raisins along with a good line of acidity. It is on the dry side of the Late Bottled Vintage spectrum, giving a wine that is structured as well as full of fruit. The aftertaste, with its tannins still in place, suggests it will age at least until 2022, although it is very drinkable now. ",Quevedo 2012 LBV  (Port),89,25,Port,Port
20%,Port/Sherry,Portugal,"The wine has a jammy character that gives it concentration. It is sweet although with enough acidity. The blackberry jelly flavors are firmed out with some fine tannins, certainly plenty to promise good aging. Drink from 2025. ",Quinta do Crasto 2015 Vintage  (Port),90,66,Port,Port
19.5%,Port/Sherry,Portugal,This gold-colored wine has been aged for an average of 10 years in wood. It balances between ripe yellow fruits and dried fruits that are backed by a spicy touch from the brandy used to fortify the wine. Drink now. ,Barão de Vilar NV Ten Years Old White  (Port),90,15,Port,Port
20%,Port/Sherry,Portugal,"Dense, dusty tannins dominate this rich wine that has structure as well as plenty of ripe black-currant fruits. The balance, ripe and with great tannins and acidity, is already there. Drink from 2026. ",C. da Silva 2015 Quinta de Ventozelo  (Port),90,58,Port,Port
20%,Port/Sherry,Portugal,"This wine has acidity and juicy black-currant fruits. It is relatively light in structure, giving a delicious wine with attractive fruits that's ready to drink from 2024. ",Cockburn's 2015 Bicentenary Vintage  (Port),90,80,Port,Port
20%,Port/Sherry,Portugal,"This juicy, ripe and rich wine has a sweet jammy background, giving concentration as well as good acidity and an open, ripe texture. Drink this already accessible wine from 2025. ",Quinta Nova de Nossa Senhora do Carmo 2015 Vintage  (Port),91,28,Port,Port
20%,Port/Sherry,Portugal,"Made from a field blend, this Port is rich and packed with fruit. The tannins and juicy black plums are balanced by prune, spice and a hint of wood aging. Drink this wine from now and until 2022. ",Duorum 2012 Late Bottled Vintage  (Port),91,30,Port,Port
20%,Port/Sherry,Portugal,"This rich wine is full of ripe, perfumed fruit. With its dark tannins and violet and spice flavors, it is already attractive. However, the power of the wine and the dark concentration will allow it age. Drink from 2027. ",Burmester 2015 Quinta do Arnozelo Vintage  (Port),92,40,Port,Port
20%,Port/Sherry,Portugal,"This well-integrated wine is full of black plums and stylish tannins. The structure is all there, giving firm tannins as well as richness. It is already a beautiful wine, ripe, solid and with excellent potential. Drink from 2026. ",Vallegre 2015 Quinta da Vista Alegre Vintage  (Port),92,45,Port,Port
20%,Port/Sherry,Portugal,"Dusty tannins, ripe fruit and concentrated structure point to a wine that is going to age well. It also has great perfumes and juicy black-currant fruits that are going to be delicious as the wine ages. Drink this wine from 2026. ",Barão de Vilar 2015 Feuerheerd Vintage  (Port),92,70,Port,Port
20%,Port/Sherry,Portugal,"With its highly perfumed character, this wine is intense with ripe tannins and delicious acidity. It almost needs to hold back on its ebullient aromas and fruitiness to balance out. The tannic structure could help, with a dry aftertaste that hints at the fruit to come. Drink from 2026. ",Ramos-Pinto 2015 Vintage  (Port),92,75,Port,Port
20%,Port/Sherry,Portugal,"Fruity and with juicy acidity, this wine is crisp, with a strongly perfumed aftertaste. A tannic core will allow it to develop slowly and surely. Drink this fruity wine from 2025. ",Rozes 2015 Vintage  (Port),92,42,Port,Port
20%,Fortified,Portugal,"This fortified red blend was aged in wood for 20 years. That has taken away fruitiness and, as with an aged Tawny Port, has given the wine flavors of dried prune, spice and old wood aromas. The wine is for sipping and savoring, ready to drink now. ",Global Wines NV Cabriz Impar Red (Vinho Licoroso),93,30,Vinho Licoroso,Portuguese Red
20%,Port/Sherry,Portugal,"The dense tannins of this wine balance the ripeness. With concentration and generous blackberry fruits, it is a rich wine, broadly structured and with swathes of opulent fruit. It will need plenty of time, so drink from 2026. ",Viera de Sousa 2015 Vintage  (Port),93,75,Port,Port
20%,Port/Sherry,Portugal,"This wine has a powerful, dense structure that balances the ripe, jammy fruit and solid tannins. It is full of juicy acidity and the potential of delicious black-plum fruitiness. The wine is in a dry style, concentrated and needing time. Drink from 2026. ",Quinta do Vallado 2015 Adelaide Vintage  (Port),93,110,Port,Port
20%,Port/Sherry,Portugal,"Produced in the old stone lagars at the estate, this bold and fruity wine is beautifully ripe. Light tannins are balanced by generous black plum and berry fruits, topped with the edge of spirits. It is in a dry style of Port, a wine either to drink now or keep for a few years, at least until 2020. ",Quinta do Sagrado 2010 Late Bottled Vintage  (Port),93,28,Port,Port
