,wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety,year
552,18.5,Port/Sherry,US,"Real Portuguese Port-style aromas, with chocolate, blackberry, spice, and sweet vanilla aromas, and a fruity depth of flavor that pleases. ItÕs richly sweet, with a velvety texture and the high acids necessary to make things bright and balanced. A very nice bottle of dessert wine, highly recommended. ",Mount Palomar NV Limited Reserve Port (California),90,28,California,Port,
553,14.5,Red,US,"Is it overripe? After tasting it we're not entirely sure, but we detected aromas and flavors common to Port: mostly raisins, cough syrup and chocolate. Brighter-than-expected acidity, however, manages to balance off those heavy characteristics. ",Eric Ross 1999 Klapp Pinot Noir (Russian River Valley),85,40,California,Pinot Noir, 1999
554,,Red,US,"Cherries and vanilla are all over the nose, so much so that it seems a little bit like Port. The plum and blackberry fruit is potent yet jammy, although ample acidity keeps it lively. Additional notes of tree bark, earth and dark chocolate add complexity. ",Bouchaine 1999 20th Anniversary Gee Vineyard Pinot Noir (Carneros),86,50,California,Pinot Noir, 1999
555,14.6,Red,US,"This intensely extracted wine came off more like Port than Pinot to our tasters. Which isn't to say that it lacks appeal. It opens with smoked meat, spice cake and grilled nut aromas. Fat blackberry-plum flavors, a plush, low-acid mouthfeel and a full tannic finish complete the Port profile. It's tasty if overblown, and not what most people expect. Probably best paired with a cheese course. ",Siduri 2000 Cerise Pinot Noir (Anderson Valley),86,50,California,Pinot Noir, 2000
556,13.0,Red,US,". “Overblown,” “full-throttle” and “juice-ball” are three words tasters used to describe this wine. But no one said it wasn't tasty. The black cherry flavors are almost overripe, but they are undeniably deep. Tons of spicy oak complements the fruit, adding to its almost Port-like quality. ",Steele 1999 Durell Vineyard Pinot Noir (Carneros),88,28,California,Pinot Noir, 1999
557,14.1,Red,US,"This lush offering features some Port-like elements—chocolate, dried spices, rich, plummy fruit and a dense, creamy texture—but has enough acidity to retain its essential Pinot character. The tannins on the finish are so soft and ripe that you hardly notice them. Editors' Choice. ",Joseph Swan Vineyards 2000 Cuvee de Trois Pinot Noir (Russian River Valley),89,20,California,Pinot Noir, 2000
558,15.2,Red,US,"Big, bulky and slightly warm, this wine nevertheless delivers copious amounts of mouthfilling fruit. The Port-like plum and spice cake flavors are lush and hedonistic, the mouthfeel layered and rich. If you like big Pinots, jump on it. ",Foxen 2000 Julia's Vineyard Pinot Noir (Santa Maria Valley),89,40,California,Pinot Noir, 2000
559,,Red,US,"A new winery from a trio with long years in the industry, but this is not a good start. Tastes like Port, with flavors of raisins. Someone thought shriveled berries would give consumers the superripe flavors they clamor for. Huge mistake, this is a clumsy wine. ",X 2000 Cabernet Sauvignon (Napa Valley),81,20,California,Cabernet Sauvignon, 2000
560,20.5,Port/Sherry,Portugal,"This oldie isn't much of a goodie, and it goes to prove that holding wine beyond its time is a mistake. The aromas are strong and not very nice. The sweet, one-dimensional palate is still lively and relatively clean, but it lacks anything special. It may or may not have been better years ago. ",Croft 1983 Quinta da Roeda Port (Douro),82,56,Douro,Port, 1983
562,,Red,US,"A blend of Dry Creek and Alexander Valley grapes that were picked superripe, resulting in an almost Port-like wine, although thankfully they vinified it dry. The winemaker calls it “brooding and intense.” I find it cumbersome and awkward. But this alcoholic, big Zin perfectly illustrates one extreme of a school of thought in California, and you either like it or you don't. ",Spencer Roloson 1999 Zinfandel (Sonoma County),84,25,California,Zinfandel, 1999
566,,Port/Sherry,Portugal, ,Ramos-Pinto 2000 Duas Quintas Red (Douro),86,12,Douro,Red Blends, 2000
567,,Red,US,"Strides down the road to Port, with raisiny, jammy-chocolate and woody scents that turn viscous and sweet in the mouth. An astounding 17.1 percent of alcohol, nearing the legal limit for an unfortified wine, creates heat. Good acidity keeps things from getting flabby. —S.H. ",Claudia Springs 1999 Rhodes Vineyard Zinfandel (Redwood Valley),86,26,California,Zinfandel, 1999
570,,Red,US,"From a warm appellation, a rugged, earthy wine with some distinctly raisiny notes. It's very soft and round, with a low-acid, velvety mouthfeel and outsized fruit. The finish is a bit sweet and Port-like. ",Pacific Star 1999 Liebelt Vineyards Merlot (Lodi),83,20,California,Merlot, 1999
571,20.0,Port/Sherry,Portugal,"The color is a cross between violet and brick red. The nose is muddled, bordering on dull. The palate feel is on the heavy side. It seems a bit clumsy and chunky. The nutty, warm finish helps, but overall it lacks sophistication and its parts aren't in full unity. ",Ferreira NV Dona Antonia Personal Reserve  (Port),83,22,Port,Port,
573,,Port/Sherry,Portugal,"There's hardly any tawny color to speak of here; it's actually deep red, much like a dry table wine. On the palate, candied flavors mingle with powerful berries. The finish is heavy and exceedingly long, offering flavors of coffee and burnt toast. This tawny is youthful and warm, emphasizing fruit over typical toffee and caramel characteristics. ",Offley 1997 Boa Vista  (Port),84,19,Port,Port, 1997
574,20.0,Port/Sherry,Portugal,"The nose is bold more than stylish, powerful rather than seductive.  In the mouth, it's sweet, spicy and still very fruity. The body is a tad rough, with lively edges. Nevertheless, everything comes together nicely to offer a healthy, hearty drink. ",Cockburn's NV Special Reserve  (Port),85,14,Port,Port,
575,14.6,Red,US,"Here's a Port-like Zin to sip late at night as the snow falls and the chestnuts are roasting. Plum pudding, raisin, and dark-chocolate flavors, with slight residual sugar and enough acidity to make it bright and balanced. ",M. Cosentino 2000 Cigar Zin Zinfandel (Lodi),86,27,California,Zinfandel, 2000
576,19.5,Port/Sherry,Portugal,"Bright, intense and attractive, with quite a bit of red color to it. It's overtly sweet, yet entirely pleasant, with lively fruit and solid edges. For an everyday classic tawny that's neither complex nor simple and dull, this is it. Lots of toffee-like nuttiness graces the tail end. ",Ferreira NV Tawny  (Port),86,14,Port,Port,
577,15.0,Red,US,"There's always a sense of anticipation in opening a new Sierra Foothills Zin, and this one lives up to the reputation. It's very strong and fruity, with huge aromas and flavors of wild berries, and it also has those raisiny, Port-like notes so common to this area. Despite the 15% alcohol, it drinks bone dry, with the silkiest tannins imaginable. ",Holly's Hill 1999 Zinfandel (Amador County),87,17,California,Zinfandel, 1999
578,20.0,Port/Sherry,Portugal,"Sweet and mild aromas are highlighted by a touch of fresh prune. The mouthfeel is buttery, with plenty of toffee/coffee flavors poking through. Although it's a tad simple and straightforward, as a whole there is nothing not to like about this easy-to-drink Port. ",Churchill's NV Tawny Ten Years Old Port (Douro),87,30,Douro,Port,
579,20.0,Port/Sherry,Portugal,"Very light, actually nearly translucent. Aromatics of caramel and butter lead into a super-sweet palate with plenty of vanilla and caramel flavors. The texture is creamy and there's ample woody character along with toasted nuts on the finish. It's quite sweet, yet structured. ",Osborne NV Special Reserve Master of Port Port (Douro),87,16,Douro,Port,
580,20.0,Port/Sherry,Portugal,"This is more of a chunky, rich tawny; the mouthfeel comes across more syrupy than svelte. But with a ton of hazelnut/walnut character and plenty of bitter coffee nuances on the finish, it comes home nicely. ",Offley NV Baron de Forrester  (Port),88,77,Port,Port,
582,20.0,Port/Sherry,Portugal,"The soft, honeyed nose is entirely inviting, hinting at the refinement this wine carries from start to finish. Though not a heavyweight, there's a goodly amount of apricot and quince mixed with toffee and crème brûlée. Scrumptious, racy and recommended for those who like good Port. ",Delaforce 1997 Curious & Ancient - 20 Yrs. Old Port (Douro),91,46,Douro,Port, 1997
583,20.0,Port/Sherry,Portugal,"Light in color, refined in the nose, and intense in the mouth. It's packed with toffee, nuts, dried apricot and other delicious and sophisticated flavors. There's dynamite fruit quality here, but it's the creamy nuttiness on the palate and the finish that steals the show. ",Warre's 2000 Otima Port (Douro),92,25,Douro,Port, 2000
584,,Red,US,"The brawniest of Hunt's releases, it borders on Port-like, with 14.7% alcohol and a burst of plummy, raisiny fruit. Other notes include char, smoke and a caramelized, pie-crust scent. Drinks big, slightly sweet, hot and peppery.  —S.H. ",Hunt Cellars 2000 Outlaw Ridge Zinphony #1 Zinfandel (Paso Robles),85,30,California,Zinfandel, 2000
585,,Red,US,"From Chiles Valley, a heady wine with 15.3% alcohol that will appeal to fans of superripe Zin. The plummy flavors veer into Port-like notes of raisins and sweet chocolate, although the wine is fully fermented to dryness.  —S.H. ",Surh Luchtel 1999 Zinfandel (Napa Valley),85,27,California,Zinfandel, 1999
587,14.0,Red,US,"This offers a lot, maybe too much, of everything—supermature pruney fruit, tons of smoky oak and a jammy mouthfeel. It's fat, and closes long with dense fruit and black pepper accents. It's also over the top—overripe, highly extracted, densely wooded; if you love that style, you'll enjoy this much more than our tasters did. This has potential as a Port, though, consumed at the end of a meal with cheeses and nuts. ",Per Sempre 1999 The Lisa Shiraz (Napa Valley),85,60,California,Shiraz, 1999
589,,White,US,"From 100% Lodi grapes, a fresh, fruity, lively wine with tropical fruit and spice aromas. The flavors are very rich and ripe, suggesting pineapple, guava, cinnamon and nutmeg. Despite the intense fruitiness, it's dry and balanced. ",Quinta da Sonora 2000 Verdelho (California),87,12,California,Verdelho, 2000
590,14.2,Red,US,"Boasts bacon and pepper aromas, along with toast and mixed berries. Rich and chewy on the palate, its dense flavors include hints of blackberries, fruitcake and chocolate. The flavors and texture are a bit Port-like (but dry) and finish long and tart, with masses of soft, ripe tannins. Hold 2–3 years and drink through 2010. Top Value. ",Perry Creek 1999 Cellar Select Syrah (El Dorado),90,24,California,Syrah, 1999
591,,Red,US,"Ripe, with blackberry aromas and sweetly smoky oak.  In the mouth, blackberry and cassis flavors are joined with raisiny notes and sweet, hot, Port-like nuances.  Could use a bit more polish. ",Paradise Ridge 1998 Cabernet Sauvignon (Sonoma County),82,22,California,Cabernet Sauvignon, 1998
592,,Red,US,"Smells forward and ripe, with wild berry, bramble, and blueberry aromas and an array of crushed, dust oriental Spices.  On the palate, it's awkward, somewhat hot, with 15% alcohol and some overripe, raisiny flavors that are Port-like.  Some, however, will go nuts over this style. ",Kendall-Jackson 1999 Great Estates Zinfandel (Dry Creek Valley),84,28,California,Zinfandel, 1999
593,,Red,US,"There are pruny, raisiny notes in the aroma, faintly Port-like, and this impression of super-maturity is confirmed in the mouth. It's a big, hot, dense wine with Porty flavors, but is dry.  Not for everyone, but fans out of this style will cheer. ",Tobin James 1999 James Gang Reserve Zinfandel (Paso Robles),84,28,California,Zinfandel, 1999
594,,Red,US,"You can taste the earth, heat and sunshine in this strong and slightly sweet Zin.  The peppery, briary aromas lead to a powerfully fruity wine that seems higher in alcohol than the official reading of 13.5%, suggests.  The finish is Port-like.  This is a typical style from the Sierra Foothills. ",Grande Folie 1998 Harvey Vineyard Old Vine Zinfandel (Amador County),85,44,California,Zinfandel, 1998
595,,Red,US,"Big, luscious aromas of dark chocolate, blackberry, pepper, earth and smoke erupt from the glass.  The flavors are extracted and bold, suggesting masses of wild berries.  It's a big hot, with 14.6% alcohol, while aficionados will debate the Port-like notes and raisiny sweetness. ",Rosenblum 1999 Rockpile Road Vineyard Zinfandel (Dry Creek Valley),86,21,California,Zinfandel, 1999
596,13.0,Red,Portugal,"Touriga Francesa is one of the grapes used in Port production, but this is a dry table-wine version that comes across as a jammy fruit bomb, with blackberry preserves and a hint of cracked pepper. Medium weight, with good balance, the wine finishes dry, with firm but ripe tannins. Solid now, may be better with a couple of years' cellaring. ",Calços do Tanha 1999 Touriga Francesa Red (Douro),86,26,Douro,Portuguese Red, 1999
597,,Red,US,"Here's California sunshine in a bottle, from the pruny raisiny aromas to the full-throttle berry-preserve flavors and the whopping 15.5% alcohol.  It's dry, but all that ripe fruit make your palate think it's tasting Port.  Distinctive stuff, and defines this style of Zin. ",Guiseppe 2000 Neese Vineyards Zinfandel (Redwood Valley),87,17,California,Zinfandel, 2000
600,13.9,Port/Sherry,US,"Inky colored, with extracted blackberry, pepper and tarragon aromas and flavors. Rich and smooth, nutty elements show on the palate and open to a cassis, grilled nut and cracked pepper finish of medium length. Packaged with an interesting mock-engraved pewter label that will get people talking, as will the 19.9% alcohol. ",EOS 1999 Port Zinfandel (Paso Robles),88,27,California,Zinfandel, 1999
602,,Port/Sherry,US,"Black as ink, with glints of royal purple and gold, it opens with intense, penetrating aromas of dark chocolate, blackberry preserves and cassis, caramel, and a smoky, peppery note. Decadently rich, with 10% residual sugar, and heady, with 19% alcohol, but so delicious. The silky, velvety texture is pure seduction. This has got to be one of the best California Ports on the market. —S.H. ",Stuart Cellars 1998 Vintage Zinfandel (Temecula),95,42,California,Zinfandel, 1998
605,20.0,Port/Sherry,Portugal,"This wine has the dark fruit typical of this quinta, but this year shows more elegance than usual, with dusty tannins and concentrated, sweet fruit. ",Quinta do Vesuvio 1998 Port (Douro),90,50,Douro,Port, 1998
606,15.5,Red,US,"A dense purple color, with jammy, grapy fruit. Plenty of extraction, yielding a grapy, fruity wine with a little bit of fizz to it. The wine promises more depth than it delivers; the finish falls off quickly and feels flat. ",Sonora 1998 Story Vineyard Old Vine Zinfandel (Amador County),84,21,California,Zinfandel, 1998
607,,Red,US,"Dark and deep purple/black, with a Port-like nose. There's a little fizz on the palate, which seems odd in a wine this big, and the flavors are locked in tight. Flat, dry, tannic finish. ",Sonora 1998 TC Vineyard Old Vine Zinfandel (Amador County),84,21,California,Zinfandel, 1998
609,15.6,Red,US,"A chewy wine with tremendous extraction and flavor intensity, this has some Port-like qualities, and the flavors are tart-sweet, pruney, with nutty, almost bitter almond notes peeking through. Still young, it will be better in two years. Coses with a big, tooth-staining finish. ",Rancho Zabaco 1999 Chiotti Vineyard Zinfandel (Dry Creek Valley),88,22,California,Zinfandel, 1999
611,15.5,Red,US,"Monster aromas leap out of the glass, rich in plum and blackberry fruit, chocolate, spice and caramel. Tastes almost Port-like, with huge fruit flavors, a syrupy texture, slight sweetness, and a bit of heat from 15.5% alcohol. ",Terra d'Oro 1998 Deaver Vineyard Old Vine Zinfandel (Amador County),86,22,California,Zinfandel, 1998
618,13.5,Red,US,"Very ripe—some tasters felt overtly overripe—aromas and flavors gave this wine a Port-like character. Prunes, figs and nuts, a supple, low-acid mouthfeel, and a long sweet-and-sour finish comprise an interesting, but not universally enjoyed package. A split decision, and very much a personal call. ",Monterra 1998 Syrah (Monterey),84,13,California,Syrah, 1998
621,,Red,US,"Dark and strong stuff here. Smells earthy and plummy, with a cut of green stalkiness and mint; turns heavy and dense in the mouth. Finishes Port-like, with heat and sweetness. ",Renaissance 1999 Zinfandel (North Yuba),81,19,California,Zinfandel, 1999
622,,Port/Sherry,Portugal,"A lush, silky mouthfeel; bright berries come through the otherwise dark coffee- and chocolate-scented fruit to add interest. Nice balance, with soft tannins that make it approachable now but should allow it to age for 10 years or more. ",Cockburn's 1995 Quinta dos Canais  (Port),90,55,Port,Port, 1995
623,19.5,Port/Sherry,Portugal,"Dark and masculine, there's a lot of coffee mixed with a deep undercurrent of orange. Big-bodied, full in the mouth and malty. A snappy tawny offering all that a good 10-year-old should. Fresh as can be and extremely well made. ",Ramos-Pinto NV Quinta da Ervamoira  (Port),90,34,Port,Port,
625,,Red,US,"A hot-country Zin that's a bit over the top in terms of sugar and extract. Drinks almost Port-like, with raisiny flavors, and it finishes hot and bitter. ",Bridlewood 1998 French Camp Zinfandel (Paso Robles),83,16,California,Zinfandel, 1998
626,,Red,US,"From 1,400-foot vineyards that are 90 years old. A huge, extracted Zin full of massive fruit. At 16.4% alcohol and 0.9% residual sugar, it's almost Port-like, with raisin and plum liqueur notes. ",Savannah-Chanelle 1997 Estate Zinfandel (Santa Cruz Mountains),84,36,California,Zinfandel, 1997
627,,Red,US,"Superripe and bold, with major-league fruit flavors. Tiers of powerful wild berries, stone fruits, and oriental spices play on the palate. Drinks strong and slightly hot (14.3% alcohol). Full-bodied and almost Port-like. ",Lonetree 1996 Zinfandel (Mendocino),88,16,California,Zinfandel, 1996
628,16.8,Red,US,"This is a bone-dry late-harvest Zinfandel made at the limits of dry red wine, with nearly 17% alcohol. It's aptly named; the aromas and flavors are robust and intense, almost Port-like except for the absence of sugar. Very nice drinking; pure and pleasurable, although at this size you have to be careful how much you drink. ",Kunde 1997 Robusto Zinfandel (Sonoma Valley),89,30,California,Zinfandel, 1997
630,15.5,Red,US,"Ponderous aromas of Port, kirsch and cassis waft up from this 15.5% alcohol monster. This isn't Dolcetto in the Piemontese style. Here it's overripe cherries and plums emulating young Port. It goes best with food; on its own it's awkward and overamped. ",Fattoria Enotria 1997 Dolcetto (Mendocino),84,16,California,Dolcetto, 1997
632,13.9,Red,US,"Packed in upfront, with some atypical grassy, wildflower aromas. Chunky fruit and Port-like flavors make a statement, as does a black-tea note on the finish. Slightly clumsy now, the hope here is that some time in the cellar will help weld any incongruent elements. ",Liparita 1997 Vineyard Reserve Cabernet Sauvignon (Napa Valley),88,65,California,Cabernet Sauvignon, 1997
633,13.4,Red,US,"Some sweetness in the form of kirsch and Port, as well as chocolate and the clear essence of wood shavings. At only 53% Cabernet, there's lots of Merlot-influenced red fruit. It's more light and elegant than many dense Napa Cabs and keeps a reserved nature all the way through to the end. ",Rosenblum 1997 Holbrook Mitchell Trio Cabernet Sauvignon (Napa Valley),90,30,California,Cabernet Sauvignon, 1997
634,15.2,Red,US,"Blackberry aromas have a Port-like character and a smoky undertone. Big extraction leaves a thick, weighty mouthfeel and the essence of Cabernet's sweetness. Some mineral, coffee and meat on the lengthy finish. A good mix of finesse and wildness. ",St. Supéry 1997 Dollarhide Ranch Limited Editi Cabernet Sauvignon (Napa Valley),92,70,California,Cabernet Sauvignon, 1997
635,13.8,Red,US,"Full-priced, full-bodied, and the full complement of just about all you want in a Rutherford Cab. Port-like aromas lead a pure and layered palate that features cassis, cherry, tobacco and cocoa. What an array of flavors, and then it finishes with dusty tannins and a tight grip. The gang at BV sure know how to craft Cabernet. ",Beaulieu Vineyard 1997 Clone 4 Cabernet Sauvignon (Napa Valley),93,130,California,Cabernet Sauvignon, 1997
637,18.4,Port/Sherry,US,"A blend of five traditional Port varieties, this is a sweet (10% residual sugar), very rich wine of substance and harmony. It has massive flavors of berries with sweet overlays of caramel, chocolate and mint, and the sugars are nicely balanced by crisp acidity, although the texture is soft and velvety. This tasty wine achieves the complexity and provides the satisfaction of a good late bottled vintage Port. Drink it now with rich chocolate-based desserts. ",Woodbridge 1994 Portacinco Port (California),90,20,California,Port, 1994
638,,Red,US,"A bizarre style of wine. The aromas are Port-like—old Port—with a caramelized, candy-sugar note verging on pie crust. There's also a streak of clove. In the mouth, it's earthy and dense, with tomato flavors and a dash of sweetness from oak. ",Lafond 1997 Lafond Vineyard Pinot Noir (Santa Ynez Valley),82,35,California,Pinot Noir, 1997
642,,Red,Portugal,"The second label of Quinta de Roriz, from the lighter 2002 vintage, is a wine for early drinking. It has fresh red fruits, soft tannins and good balancing acidity. The word “prazo,” meaning “lease”, was the name given to the quinta in the 18th century. ",Quinta de Roriz 2002 Prazo de Roriz Red (Douro),85,13,Douro,Portuguese Red, 2002
643,,Port/Sherry,US,"Sweet, rich in tannins, high in peppery alcohol and with a chocolatey, blackberry richness, this dessert wine is fun on its own, or beside a perfect espresso after a big, late night dinner. ",DeRose 1995 Port (Cienega Valley),85,26,California,Port, 1995
644,15.0,Port/Sherry,Spain,"From Real Tesoro, this fino is dry and chalky, with spiky blanched-almond flavors and a heavy, astringent aftertaste of sautéed mushrooms. ",Marques del Real Tesoro NV Tio Mateo Fino Seco y Suave Sherry (Jerez),82,15,Andalucia,Sherry,
645,,Port/Sherry,US,"Mute aroma, but turns sweet and chocolatey-cherry in the mouth, with good acidity, and very clean. A pleasant dessert quaffer. ",Boitano 2002 Port (Sierra Foothills),86,14,California,Port, 2002
646,,Port/Sherry,Portugal,"Not an intense or concentrated wine, perhaps, but this Reserve Port from Churchill's is well balanced and finely structured. There are flavors of green figs that give it freshness, and a dry aftertaste. A slight stalky flavor is the only off note. ",Churchill's NV Finest Vintage Character  (Port),86,17,Port,Port,
647,,Port/Sherry,Portugal,"W & J Graham makes one of the best-known Reserve Port brands. And a great wine it is, too. It is soft, but there are tannins. It is fruity, but there is good concentration. And with its flavors of ripe black figs and dark chocolate, it is an immediately appealing wine. ",W. & J. Graham's NV Six Grapes Reserve  (Port),89,21,Port,Port,
648,,Port/Sherry,Spain,"A classic manzanilla with aromas of honey, apple, blanched almonds and salt air. Fresh and exuding clarity not found in every fino or manzanilla. Quite apple-driven on the palate, with hints of mushroom and buttered toast. Flavorful, lithe and on the money. ",Barbadillo NV Solear Manzanilla Sherry (Jerez),89,9,Andalucia,Sherry,
649,19.0,Port/Sherry,Spain,"Almost shocking at first, due to strong, unyielding peanut and iodine aromas. Remains intense on the palate, where salt, butter and almonds mix nicely. Sharp and racy on the finish, with good flow. A word of warning: there's nothing cuddly or sweet about this. It's old-style, traditional Sherry made for the connoisseur. Imported by W.J. Deutsch & Sons. ",Osborne NV Solera Primera Rare Amontillado Sherry (Jerez),90,90,Andalucia,Sherry,
650,18.0,Port/Sherry,Spain,"It's rare that a sweet sherry reaches such heights, but here's a case in point. Iberia has impeccable prune and raisin aromas along with intoxicating scents of toffee and cane sugar. All in all, the bouquet is excellent. The palate, meanwhile, is seamless as it deals raisin, vanilla and mocha. Spot on for a dessert elixir, with a ceaseless finish. ",Sanchez Romate NV Iberia Cream Sherry (Jerez),93,15,Andalucia,Sherry,
651,,Port/Sherry,Portugal,"A pure fruited wine, with an unusual touch of toast and new wood. The fruit is well structured with flavors of thyme and rosemary. This is a smooth, polished Port, which is definitely in a modern style of winemaking. Imported by William Grant USA. ",Quinta do Noval 2003 Vintage  (Port),90,95,Port,Port, 2003
652,,Port/Sherry,Portugal,"The wine is big, full, opulent and super-ripe. But the tannins are also there, giving a dark, brooding edge, which comes through powerfully on the finish. This is the best vintage yet from this Roederer-owned house. Imported by Maisons Marques & Domaines USA. ",Ramos-Pinto 2003 Vintage  (Port),94,65,Port,Port, 2003
653,,Red,US,"Fully dry, at the cost of 15.8% alcohol, this enormous Zin wears its size well. There's a Port-like, raisiny note, but it's more of a subtle seasoning than a takeover, and the wine is balanced in its own distinctively Zinny way. ",Wellington 2003 100 Year Old Vines Zinfandel (Sonoma Valley),89,30,California,Zinfandel, 2003
654,20.0,Port/Sherry,Portugal,"A very ripe style, with baked plum and prune aromas and flavors supported by hints of pastry crust and dried spices. Medium to full in body, with soft tannins and a long, spicy finish. Imported by Supreme Wines & Spirits. ",Quinta de Ventozelo 2000 LBV  (Port),89,19,Port,Port, 2000
655,,Port/Sherry,Portugal,"Rather brown in color, this wine is sweet, soft and chocolaty, spoiled by volatility and unbalanced acidity. ",Messias NV 10-year old tawny  (Port),82,20,Port,Port,
656,,Port/Sherry,Portugal,"With French winemaker Jean-Hugues Gros (who used to work in Burgundy with Jacques Prieur) in charge, Heredias  is producing both table wines and Ports. This 10-Year Oldis sweet, fresh, with caramel flavors, leavened with fresh acidity in the aftertaste. ",Quinta das Heredias NV 10-year old tawny  (Port),86,28,Port,Port,
657,,Port/Sherry,Portugal,"A very sweet style, with flavors of Hershey bars, figs, vanilla and caramel. Rather out of balance. ",Offley NV 10-year old tawny  (Port),86,26,Port,Port,
658,,Port/Sherry,Portugal,"A dense, firm style of wine from this small Dutch-owned Port house. Offers good acidity, old wood and very bitter chocolate flavors. The aftertaste, by contrast, is sweet. ",C. da Silva NV Presidential 30-year old tawny  (Port),87,80,Port,Port,
659,20.0,Port/Sherry,Portugal,"If it wasn't for the unbalanced spirity element to this wine, it would rate higher. The concentration and the dried fruit and lemon jelly flavors are attractive. But that spirit comes through at the finish. ",Rozes NV 20-year old tawny  (Port),87,50,Port,Port,
660,,Port/Sherry,Portugal,"A delicious, easy wine that floats by with orange marmalade and fresh acidity. Marred on the finish by some volatility. ",Royal Oporto NV 20-year old tawny  (Port),87,48,Port,Port,
661,,Port/Sherry,Portugal,"This is a very easy, light and fresh style, with sweet caramel flavors balanced by sweet figs and milk chocolate. It finishes  clean, with just a touch of acidity. ",Quinta de Ventozelo NV 10-year old tawny  (Port),87,30,Port,Port,
662,,Port/Sherry,Portugal,"Ripe and fresh. There are touches of bitter oranges, lemon peel and ginger. The aftertaste is soft and sweet. ",Churchill's NV 10-year old tawny  (Port),87,30,Port,Port,
663,,Port/Sherry,Portugal,"A fine, sweet, fresh wine, which tastes younger than 30 years. The flavors are ripe, layering milk chocolate with acidity in good balance. ",Kopke NV 30-year old tawny  (Port),87,122,Port,Port,
664,,Port/Sherry,Portugal,"A generally balanced sweet wine, with layers of candied fruits, and sweet marmalade flavors. The ripeness and the sweetness are spoiled by the volatility that shows in the finishing acidity. ",Poças NV 20-year old tawny  (Port),87,50,Port,Port,
665,,Port/Sherry,Portugal,"A very soft style from a vineyard run by the Olazabal family. There is sweetness, allied with cocoa flavors and a touch of burnt coffee. There's a very attractive sweet black fig character to finish. ",Quinta do Vallado NV 10-year old tawny  (Port),87,10,Port,Port,
666,,Port/Sherry,Portugal,"Santa Eufemia is a new name on the U.S. market, from a vineyard in the Baixo Corgo, the western end of the Port vineyards. This is a mature 10-year-old, light in color and dry, with coffee and cocoa flavors. There is a delicious, lightly acidic, long-lasting aftertaste. ",Casa Santa Eufemia NV 10-year old tawny  (Port),88,39,Port,Port,
667,,Port/Sherry,Portugal,"A very sweet rich wine, in the Fonseca house style. But it lacks the intensity, going more for sweet almonds, along with some bitter marmalade, and a young taste. Imported by Kobrand. ",Fonseca NV 40-year old tawny  (Port),88,157,Port,Port,
668,,Port/Sherry,Portugal,"Very soft, but with good concentration, this bitter orange flavored wine has ripeness, but also acidity, finishing with some bitter chocolate flavors. Attractively balanced. ",Delaforce NV His Eminence's Choice 10-year old tawny  (Port),88,23,Port,Port,
669,,Port/Sherry,Portugal,"Barros is not well known outside Portugal, but this wine suggests it should be. Delicate and perfumed, this has a fine balance that leaves a fresh, fruity aftertaste. There is structure, sweetness and ripeness. ",Barros NV 10-year old tawny  (Port),88,22,Port,Port,
670,,Port/Sherry,Portugal,"A clean, very poised style, with attractive acidity and good balance. It's just as deliciously fresh as a 10-Year Oldshould be. ",Wiese & Krohn NV 10-year old tawny  (Port),88,25,Port,Port,
671,,Port/Sherry,Portugal,"An intensely sweet wine, with mature fruit that shows some richness and orange marmalade flavors. It is spoiled by a hint of volatility, which leaves a sharp aftertaste. Imported by Admiral Imports. ",Royal Oporto NV 40-year old tawny  (Port),88,128,Port,Port,
672,,Port/Sherry,Portugal,"Layers of dried fruits and prunes give a fruity character to this gently sweet wine. It's very elegant and delicate, but certainly very drinkable. ",Quinta de Ventozelo NV 20-year old tawny  (Port),88,40,Port,Port,
673,,Port/Sherry,Portugal,"A full-bodied, dense and very concentrated wine that just misses being intensely rich because of a touch of burnt rubber. It is certainly powerful, and the dried prune flavors are ripe and sweet. ",Quinta do Vallado NV 20-year old tawny  (Port),88,20,Port,Port,
674,,Port/Sherry,Portugal,"Apart from the fact that this tastes too fresh to be a 30-year-old, this is a delicious wine, with ripe, sweet fruits, caramel and just the right layer of dryness. ",Taylor Fladgate NV 30-year old tawny  (Port),88,115,Port,Port,
675,,Port/Sherry,Portugal,"A firm style of wine, from the oldest Port producer. With tannins and bitter almond and chocolate flavors, this is certainly on the drier side. ",Kopke NV 10-year old tawny  (Port),88,28,Port,Port,
676,,Port/Sherry,Portugal,"Caramel, white chocolate aromas, and unbalanced sweet and sour flavors just do not show well together in this disappointing wine. ",Warre's NV Sir William 10-year old tawny  (Port),83,26,Port,Port,
677,,Port/Sherry,Portugal,A very old wine which smells medicinal and tastes like sweet cough syrup. It's so concentrated as to be almost undrinkable. ,Rozes NV 40-year old tawny  (Port),83,120,Port,Port,
678,,Port/Sherry,Portugal,"A very old, too concentrated, medicinal, Italian bitters-flavored wine that tastes too herbal to give much pleasure. Imported by Wine Worth LLC. ",Kopke NV 40-year old tawny  (Port),83,180,Port,Port,
679,,Port/Sherry,Portugal,This wine certainly doesn't taste its age. It has more to do with sweet almond cookies and unbalanced spirit than mature flavors. Imported by Langdon Shiverick. ,Quinta das Heredias NV 40-year old tawny  (Port),83,130,Port,Port,
